,Interface,Remote_Interface
63,regionb-svr02[Ethernet2],regionb-acc02[Ethernet6]
64,regionb-acc01[Ethernet1],regionb-ce01[ge-0/0/4]
65,regionb-ce01[ge-0/0/4],regionb-acc01[Ethernet1]
66,regionb-acc01[Ethernet2],regionb-ce01[ge-0/0/5]
67,regionb-ce01[ge-0/0/5],regionb-acc01[Ethernet2]
68,regionb-acc01[Ethernet5],regionb-svr01[Ethernet1]
69,regionb-svr01[Ethernet1],regionb-acc01[Ethernet5]
70,regionb-acc01[Ethernet6],regionb-svr01[Ethernet2]
71,regionb-svr01[Ethernet2],regionb-acc01[Ethernet6]
72,regionb-ce01[ge-0/0/0],regionb-pe01[ge-0/0/2]
73,regionb-pe01[ge-0/0/2],regionb-ce01[ge-0/0/0]
74,regionb-pe01[ge-0/0/0],regiona-pe01[GigabitEthernet0/0/0/0]
75,regiona-pe01[GigabitEthernet0/0/0/0],regionb-pe01[ge-0/0/0]
76,regiona-pe01[GigabitEthernet0/0/0/2],regiona-ce01[ge-0/0/0]
77,regiona-ce01[ge-0/0/0],regiona-pe01[GigabitEthernet0/0/0/2]
